Stat,,Repetitions,1,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,44,37,31,28,29,29,26,24,24,23
MIST,50.0,40.0,41.0,39.0,32.0,29.0,25.0,23.0,22.0,20.0,18.0
Diff,0.0,4.0,4.0,8.0,4.0,0.0,4.0,3.0,2.0,4.0,5.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,44,32,25,23,19,16,12,9,9,8
MIST,50.0,42.0,33.0,29.0,26.0,20.0,14.0,11.0,12.0,7.0,3.0
Diff,0.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,5,9,14,8,2,2,4,6,3,2
MIST,0.0,8.0,4.0,4.0,8.0,10.0,10.0,4.0,3.0,3.0,2.0
Diff,0.0,3.0,5.0,10.0,0.0,8.0,8.0,0.0,3.0,0.0,0.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,6,17,22,14,17,13,11,9,5,4
MIST,0.0,8.0,14.0,13.0,13.0,13.0,12.0,11.0,7.0,9.0,11.0
Diff,0.0,2.0,3.0,9.0,1.0,4.0,1.0,0.0,2.0,4.0,7.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,4,5,14,19,19,20,20,23,25
MIST,0.0,2.0,5.0,7.0,10.0,11.0,15.0,23.0,25.0,27.0,30.0
Diff,0.0,1.0,1.0,2.0,4.0,8.0,4.0,3.0,5.0,4.0,5.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,0,1,3,13,14,21,27,32,36,38
MIST,0.0,0.0,3.0,8.0,11.0,17.0,24.0,28.0,31.0,34.0,36.0
Diff,0.0,0.0,2.0,5.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,42,37,31,28,25,23,22,22,15,16
MIST,50.0,41.0,38.0,33.0,29.0,27.0,26.0,25.0,22.0,20.0,19.0
Diff,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,0.0,5.0,3.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,47,45,41,38,37,32,31,28,27,25
MIST,50.0,47.0,46.0,43.0,41.0,38.0,33.0,31.0,30.0,29.0,28.0
Diff,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,3.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,45.3,40.7,37,34.2,31.4,28.1,26.7,25.1,22.7,22.1
MIST,50.0,44.600000000000001,41.100000000000001,37.299999999999997,34.0,31.899999999999999,29.399999999999999,28.300000000000001,25.600000000000001,23.699999999999999,21.5
Diff,0.0,0.6999999999999957,0.3999999999999986,0.29999999999999716,0.20000000000000284,0.5,1.2999999999999972,1.6000000000000014,0.5,1.0,0.6000000000000014
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,__female,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1.70293863659264,2.62678510731274,3.09120616516523,3.15524255098646,3.47051068928543,3.21282153600573,2.66874918683308,2.33095116493961,3.49761823721991,2.76686746259295
MIST,0.0,1.8973665961010275,2.3781411975649291,3.6530048514126618,3.9157800414902435,3.3813212407775355,2.3664319132398464,1.8885620632287059,2.6331223544175333,2.7908580918579302,2.9533408577782247
Diff,0.0,0.19442795950838754,0.2486439097478108,0.5617986862474318,0.7605374905037836,0.08918944850789456,0.8463896227658836,0.7801871236043743,0.3021711894779231,0.7067601453619798,0.18647339518527462
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,35,29,25,22,18,16,11,8,6,4
MIST,50.0,31.0,26.0,19.0,17.0,13.0,12.0,11.0,6.0,9.0,6.0
Diff,0.0,4.0,3.0,6.0,5.0,5.0,4.0,0.0,2.0,3.0,2.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,45,38,34,28,27,25,25,23,20,16
MIST,50.0,46.0,39.0,34.0,29.0,24.0,21.0,20.0,16.0,14.0,11.0
Diff,0.0,1.0,1.0,0.0,1.0,3.0,4.0,5.0,7.0,6.0,5.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,50,40.5,33.4,28.9,25.2,21.7,19.6,16.4,14.7,13.1,10.7
MIST,50.0,38.0,31.399999999999999,26.300000000000001,22.800000000000001,19.0,15.699999999999999,13.800000000000001,10.800000000000001,10.6,8.4000000000000004
Diff,0.0,2.5,2.0,2.599999999999998,2.3999999999999986,2.6999999999999993,3.900000000000002,2.599999999999998,3.8999999999999986,2.5,2.299999999999999
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,__male,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,3.24037034920393,2.98886823619465,2.99814757623585,2.14993539954628,3.12872000806862,3.50238014308365,5.3166405433005,4.90011337737313,4.14862761779255,3.65300485141266
MIST,0.0,4.7842333648024411,4.1419265512024186,4.1379007023153935,3.8239014399199962,3.1269438398822866,2.9458068127047601,2.8596814119369625,3.0840089349921005,1.9550504398153572,1.837873166945363
Diff,0.0,1.543863015598511,1.1530583150077685,1.1397531260795435,1.673966040373716,0.0017761681863333045,0.5565733303788898,2.4569591313635377,1.8161044423810297,2.1935771779771924,1.8151316844672971
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,4,5,7,2,2,2,3,3,2
MIST,0.0,3.0,3.0,4.0,6.0,3.0,2.0,2.0,5.0,5.0,5.0
Diff,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,8,10,14,10,12,14,11,9,11,10
MIST,0.0,8.0,10.0,13.0,12.0,12.0,12.0,12.0,10.0,9.0,9.0
Diff,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,4.2,7.5,9,8.3,8.1,8.5,7,6.8,7.2,5.5
MIST,0.0,4.7999999999999998,6.5999999999999996,7.9000000000000004,8.8000000000000007,7.2999999999999998,7.5,6.7000000000000002,7.5,7.0999999999999996,7.0
Diff,0.0,0.5999999999999996,0.9000000000000004,1.0999999999999996,0.5,0.7999999999999998,1.0,0.2999999999999998,0.7000000000000002,0.10000000000000053,1.5
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,__female,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1.93218356615859,2.0138409955991,2.86744175568088,1.05934990547138,2.80673792466945,3.59783885748715,3.16227766016838,2.04396129556745,3.15524255098646,2.22361067735439
MIST,0.0,1.6193277068654826,2.0655911179772888,2.923088169119167,1.9888578520235065,2.4060109910158118,3.2744804507314167,2.8303906287138374,1.5811388300841898,1.2866839377079189,1.1547005383792515
Diff,0.0,0.31285585929310744,0.05175012237818866,0.05564641343828702,0.9295079465521265,0.4007269336536381,0.32335840675573335,0.33188703145454257,0.4628224654832602,1.868558613278541,1.0689101389751388
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,5,10,9,6,10,9,7,7,4,1
MIST,0.0,4.0,6.0,8.0,10.0,8.0,7.0,5.0,6.0,4.0,2.0
Diff,0.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,14,18,22,17,17,15,14,11,10,11
MIST,0.0,19.0,18.0,21.0,19.0,17.0,19.0,14.0,13.0,12.0,12.0
Diff,0.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,2.0,1.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,9.4,13.6,13.6,13,13.2,11.3,10.9,8.4,7,6.4
MIST,0.0,11.699999999999999,13.9,14.4,13.800000000000001,12.699999999999999,12.4,10.5,9.6999999999999993,8.1999999999999993,7.5999999999999996
Diff,0.0,2.299999999999999,0.3000000000000007,0.8000000000000007,0.8000000000000007,0.5,1.0999999999999996,0.40000000000000036,1.299999999999999,1.1999999999999993,1.1999999999999993
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,__male,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,3.06231575409489,2.95145914949049,3.43834585552737,2.98142396999972,2.29975844142138,1.76698110409314,2.23358207570013,1.42984070596848,2.05480466765633,2.98886823619465
MIST,0.0,4.9001133773731302,3.6651512019742558,4.2739521132865619,3.0477678535099892,2.9078437983419185,3.5023801430836525,2.6352313834736494,2.4060109910158114,2.3944379994757292,3.0983866769659336
Diff,0.0,1.8377976232782403,0.7136920524837658,0.8356062577591921,0.06634388351026921,0.6080853569205384,1.7353990389905125,0.4016493077735195,0.9761702850473315,0.33963333181939914,0.10951844077128348
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,1,1,4,5,10,12,15,16,18
MIST,0.0,0.0,1.0,2.0,2.0,6.0,7.0,9.0,12.0,13.0,17.0
Diff,0.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2,4,7,14,19,19,20,20,24,28
MIST,0.0,2.0,4.0,8.0,10.0,15.0,17.0,18.0,20.0,22.0,24.0
Diff,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1.25,2.25,4,7.5,10.5,13.4,16.3,18.1,20.1,22.4
MIST,0.0,0.59999999999999998,2.2999999999999998,4.7999999999999998,7.2000000000000002,10.800000000000001,13.1,15.0,16.899999999999999,19.199999999999999,21.5
Diff,0.0,0.65,0.04999999999999982,0.7999999999999998,0.2999999999999998,0.3000000000000007,0.3000000000000007,1.3000000000000007,1.2000000000000028,0.9000000000000021,0.8999999999999986
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,__female,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,0.5,1.03509833901353,2.05480466765633,3.17104959840674,3.92286743197994,3.06231575409489,2.62678510731274,1.85292561462497,2.55821118057999,2.98886823619465
MIST,0.0,0.69920589878010109,1.1595018087284057,1.6865480854231356,2.4404006956964168,3.1552425509864621,3.2472210341220142,3.2998316455372216,2.766867462592951,3.1552425509864621,2.5055493963954847
Diff,0.0,0.1992058987801011,0.1244034697148757,0.36825658223319446,0.7306489027103233,0.7676248809934778,0.18490528002712425,0.6730465382244817,0.9139418479679811,0.597031370406472,0.48331883979916546
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,1,3,9,12,15,16,18,21,25
MIST,0.0,0.0,1.0,5.0,10.0,14.0,18.0,21.0,23.0,24.0,27.0
Diff,0.0,1.0,0.0,2.0,1.0,2.0,3.0,5.0,5.0,3.0,2.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,7,11,16,18,22,27,32,36,38
MIST,0.0,2.0,6.0,14.0,16.0,22.0,25.0,30.0,34.0,36.0,40.0
Diff,0.0,1.0,1.0,3.0,0.0,4.0,3.0,3.0,2.0,0.0,2.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,1,3.33333333333333,7.5,11.8,15.1,19.1,22.7,26.9,29.9,32.9
MIST,0.0,0.29999999999999999,4.7000000000000002,9.3000000000000007,13.4,18.300000000000001,21.899999999999999,25.699999999999999,29.5,31.199999999999999,34.0
Diff,0.0,0.7,1.3666666666666702,1.8000000000000007,1.5999999999999996,3.200000000000001,2.799999999999997,3.0,2.6000000000000014,1.3000000000000007,1.1000000000000014
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,__male,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,NA,1.87082869338697,2.32139804619735,2.44040069569642,2.07899548393502,2.51440295541948,4.08384350554447,4.60555220479707,5.0651313463281,4.28044649799787
MIST,0.0,0.67494855771055284,1.7669811040931427,2.6267851073127395,2.0110804171997807,2.6687491868330793,2.8460498941515415,2.496664441476534,3.064129385141706,3.3266599866332398,3.4318767136623336
Diff,0.0,0.6749485577105528,0.10384758929382731,0.3053870611153897,0.42932027849663923,0.5897537028980593,0.3316469387320615,1.5871790640679362,1.5414228196553643,1.7384713596948598,0.8485697843355364
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,__female,,,,,,
