"","min","max","mean","sd"
"X1",25.49999999949,25.49999999949,25.49999999949,0
"X2",25.6249999994661,27.2499999994323,26.3167165260034,0.278307536528905
"X3",19.9310344820713,27.8249999993044,24.5973924986436,1.348792708534
"X4",18.1199999992752,27.2812499991475,22.9949919763955,1.94161135111004
"X5",14.7692307680947,27.599999998896,21.5445095138983,2.18881939658113
"X6",14.7777777761358,28.19999999812,20.6263019448164,2.58069690647085
"X7",12.5555555541605,28.888888885679,20.5855846199745,3.07872452996308
"X8",11.49999999425,30.59999999388,20.1894234331981,3.41296559023096
"X9",12.19999999756,33.999999983,20.0717680332403,4.1136115337283
"X10",11.49999999425,33.999999966,19.7141666609573,4.38927220971122
"X11",10.999999989,36.999999963,19.1870370288156,4.48664261362063
