"","min","max","mean","sd"
"X1",25.49999999949,25.49999999949,25.49999999949,NA
"X2",26.062499999457,26.062499999457,26.062499999457,NA
"X3",24.6249999993844,24.6249999993844,24.6249999993844,NA
"X4",25.0967741927388,25.0967741927388,25.0967741927388,NA
"X5",25.8518518508944,25.8518518508944,25.8518518508944,NA
"X6",27.3749999988594,27.3749999988594,27.3749999988594,NA
"X7",27.1363636351302,27.1363636351302,27.1363636351302,NA
"X8",27.4705882336782,27.4705882336782,27.4705882336782,NA
"X9",27.6249999965469,27.6249999965469,27.6249999965469,NA
"X10",26.2857142819592,26.2857142819592,26.2857142819592,NA
"X11",20.9999999958,20.9999999958,20.9999999958,NA
