"","min","max","mean","sd"
"X1",40.499999997975,40.499999997975,40.499999997975,0
"X2",40.2105263136731,41.5789473662327,40.9629690382113,0.24751225962686
"X3",36.69999999633,43.3076923043609,40.4685968981266,1.36227220758576
"X4",35.8749999955156,46.285714279102,40.0036970269507,2.22095663850343
"X5",32.49999998375,50.49999997475,39.6589834028986,2.86093123832372
"X6",30.999999969,49.99999995,39.3751407918428,3.73537625162437
"X7",30.999999969,55.999999944,38.3819444213022,4.50366592039702
"X8",30.999999969,53.999999946,38.056818154744,5.16242917384541
"X9",30.999999969,55.999999944,38.7266666345211,5.94273122023793
"X10",31.999999968,55.999999944,39.2407407034599,6.40217866686027
"X11",30.999999969,56.999999943,38.2745097684183,6.90936892950379
