"","min","max","mean","sd"
"X1",0,0,0,0
"X2",39.9999999978947,41.499999997925,40.9395935652148,0.275873520163441
"X3",76.7142857088061,84.8461538396272,80.4983168635673,1.61893007462661
"X4",105.749999986781,129.499999989208,118.484073810465,4.11164128312031
"X5",125.999999874,174.90909089319,156.448175653049,7.9037732470118
"X6",156.9999999686,233.333333255556,193.909083509391,14.3835451988625
"X7",180.999999939667,282.999999717,232.322428940928,21.3617646092312
"X8",204.49999989775,376.999999623,270.920601410117,32.116549535529
"X9",229.99999977,441.999999558,301.556055771956,40.5255139094575
"X10",252.999999747,497.999999502,331.288627282453,46.5776490006079
"X11",274.999999725,564.999999435,363.914351625931,64.0961900919119
