"","min","max","mean","sd"
"X1",0,0,0,0
"X2",40.2105263136731,41.5789473662327,40.9629690382113,0.24751225962686
"X3",72.39999999276,85.6153846087988,79.9371937963357,2.72454441516997
"X4",104.624999986922,135.857142837735,117.011091081268,6.66286991550382
"X5",123.999999938,200.9999998995,153.207803101477,11.9717618521915
"X6",144.999999855,249.99999975,190.003200121795,21.466510642855
"X7",170.999999829,340.999999659,222.057539548661,30.2501579553238
"X8",195.999999804,376.999999623,255.81439375749,39.7118972441489
"X9",229.99999977,449.99999955,294.979999755137,52.2527612732151
"X10",261.999999738,497.999999502,332.783950301519,64.3335959213382
"X11",274.999999725,564.999999435,356.470587904804,76.7659735532255
