"","min","max","mean","sd"
"X1",0,0,0,0
"X2",14.961538460963,16.4285714279847,15.9353032147432,0.221220082851402
"X3",14.9166666660451,16.923076922426,16.0668449764623,0.420549687969053
"X4",14.8235294108927,17.3181818173946,16.1698297326239,0.57666828256178
"X5",14.5555555547469,18.099999999095,16.2722817555573,0.800365535649865
"X6",13.7857142847296,19.4999999987812,16.4503057672261,0.970436509011582
"X7",13.9230769220059,20.6428571413827,16.6989756437215,1.20500274806937
"X8",13.89999999861,20.9166666649236,17.1269029694633,1.33013068556199
"X9",13.2499999983437,22.29999999777,17.864254739136,1.79986878274085
"X10",14.2499999964375,25.5714285677755,18.6048750051509,2.00488819581684
"X11",15.2499999980938,26.5714285676327,19.4532701280514,2.19885730017178
