"","min","max","mean","sd"
"X1",119.999999994,119.999999994,119.999999994,0
"X2",124.069999993797,124.134999993793,124.095999993972,0.0182269641949715
"X3",127.859999991476,128.2058823454,128.055660614167,0.126020056672613
"X4",131.263636351703,132.59999998895,131.900559429842,0.437403564543198
"X5",133.649999983294,136.199999984867,134.674705612715,0.911442925486789
"X6",134.499999983188,137.149999986285,135.949523789401,0.800041573010634
"X7",133.539999973292,138.633333287122,135.5012640368,1.90069260459647
"X8",131.4999998685,136.024999965994,134.112277727549,1.53416365363336
"X9",133.5999999332,138.7999999306,135.92583328741,1.69718884709082
"X10",132.133333289289,136.549999931725,134.762962886349,1.50477890935585
"X11",133.49999993325,139.4999998605,137.046296209552,1.9423599562425
