"","min","max","mean","sd"
"X1",119.999999994,119.999999994,119.999999994,0
"X2",124.026315782946,124.124999993794,124.090890086538,0.034366294704896
"X3",127.445454533869,128.459999987154,128.017138850426,0.295115305299008
"X4",131.166666652093,132.539999973492,131.854416648195,0.459702869827239
"X5",133.699999966575,136.9999999315,135.045555517974,1.12634555068819
"X6",133.166666622278,136.749999931625,134.795833275218,1.24596417190669
"X7",130.6999998693,137.8999998621,134.157407333011,2.0990591739827
"X8",132.049999933975,139.3999998606,134.504166568334,2.38355391711393
"X9",134.9999999325,137.5999999312,136.449999920225,1.35030858175332
"X10",133.833333288722,133.833333288722,133.833333288722,NA
"X11",135.833333288056,135.833333288056,135.833333288056,NA
