"","min","max","mean","sd"
"X1",0,0,0,0
"X2",40.2631578926177,41.2499999979375,40.9089009267026,0.343662944980763
"X3",37.727272723843,42.79999999572,40.5856943022995,1.47557652582684
"X4",38.2222222179753,42.79999999144,40.5147222165275,1.53234290552441
"X5",35.7499999910625,55.49999997225,41.8361110990587,5.31459622764676
"X6",35.49999998225,59.99999994,44.8416666463349,6.66975505946913
"X7",41.999999986,49.99999995,45.9722221960625,3.1080093545032
"X8",39.49999998025,59.99999994,46.6666666323819,6.63025771438377
"X9",37.999999962,51.3333333162222,43.3333333090556,6.53197265281976
"X10",55.6666666481111,55.6666666481111,55.6666666481111,NA
"X11",46.9999999843333,46.9999999843333,46.9999999843333,NA
