"","min","max","mean","sd"
"X1",15.4999999994833,15.4999999994833,15.4999999994833,0
"X2",15.5714285708724,16.1785714279936,15.9305555549943,0.192840882472748
"X3",14.157894736097,16.4999999993654,15.5329037210873,0.667153494072829
"X4",13.312499999168,16.1428571420884,15.3462002400112,0.934015407705993
"X5",11.09999999889,17.49999999875,15.5477591025119,1.83342298195921
"X6",11.2499999985938,17.6923076909467,15.7454834039974,1.8097823890791
"X7",12.9999999981429,18.6666666645926,15.8473737353109,1.63446475416954
"X8",12.7142857124694,19.999999996,16.6011111084081,2.20199804984243
"X9",13.39999999732,20.59999999588,16.8586904725008,2.25755374093245
"X10",14.39999999712,25.49999998725,18.786666659696,3.46624640888084
"X11",13.499999996625,22.999999977,18.3555555472752,2.96980171012145
