"","min","max","mean","sd"
"X1",119.999999996,119.999999996,119.999999996,0
"X2",121.55357142423,121.624999995656,121.595357138589,0.0177416902928175
"X3",122.971999995081,123.1999999956,123.135955550953,0.0721307912779009
"X4",124.404545448891,124.837499994798,124.621309222385,0.143983352926103
"X5",125.355555548591,126.381818176074,125.890848478287,0.369620374186493
"X6",126.266666658249,127.79999999361,127.177433189274,0.510495783983909
"X7",127.628571419455,129.659999991356,128.559497317141,0.629037791052992
"X8",128.983333322585,130.930769220698,129.929512420744,0.550723133998909
"X9",130.499999983688,131.685714276308,130.923014306823,0.370645157570423
"X10",130.781818169929,132.816666655599,131.435013334017,0.607380621222033
"X11",131.09999998689,133.833333288722,132.392103156721,0.83858979171315
