"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.5357142851594,16.2499999994196,15.9535714280115,0.177416902713306
"X3",29.7199999988112,31.9999999988571,31.3595555543843,0.721307911294905
"X4",44.0454545434525,48.3749999979844,46.213092275307,1.439833528668
"X5",53.5555555525802,63.818181815281,58.9084848454251,3.6962037378213
"X6",62.6666666624889,77.9999999961,71.7743319653038,5.10495783617277
"X7",76.2857142802653,96.59999999356,85.5949732560252,6.29037790452824
"X8",89.8333333258472,109.307692299284,99.2951243115305,5.50723133534239
"X9",104.999999986875,124.714285705378,115.154746354064,6.22710999457936
"X10",117.999999986889,144.285714265102,129.306879495838,8.1561548974891
"X11",113.571428555204,156.111111093765,142.682142838116,11.780909307777
