"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.5714285708724,16.1785714279936,15.9305555549943,0.192840882472748
"X3",27.3157894722465,31.9999999987692,30.0658074422176,1.33430698814247
"X4",36.9374999976914,45.4285714264082,43.0386007201936,2.80204622310728
"X5",38.39999999616,63.9999999954286,56.1910364104895,7.33369192777935
"X6",46.2499999942187,78.461538455503,68.7274170209423,9.04891194528304
"X7",62.999999991,96.9999999892222,80.0842424138087,9.8067885251148
"X8",67.9999999902857,118.9999999762,95.2077777622304,15.4139863492811
"X9",79.19999998416,136.79999997264,107.012380929007,17.9652765749761
"X10",93.59999998128,198.49999990075,133.913333282772,32.1790944753824
"X11",89.9999999775,184.999999815,139.277777714149,30.2863647017936
