"","min","max","mean","sd"
"X1",40.499999997975,40.499999997975,40.499999997975,NA
"X2",40.9999999980476,40.9999999980476,40.9999999980476,NA
"X3",41.4666666639022,41.4666666639022,41.4666666639022,NA
"X4",40.9999999968462,40.9999999968462,40.9999999968462,NA
"X5",40.79999999592,40.79999999592,40.79999999592,NA
"X6",39.4285714229388,39.4285714229388,39.4285714229388,NA
"X7",39.3333333267778,39.3333333267778,39.3333333267778,NA
"X8",36.499999990875,36.499999990875,36.499999990875,NA
"X9",37.499999990625,37.499999990625,37.499999990625,NA
"X10",36.9999999926,36.9999999926,36.9999999926,NA
"X11",37.9999999905,37.9999999905,37.9999999905,NA
