"","min","max","mean","sd"
"X1",0,0,0,0
"X2",40.9999999980476,40.9999999980476,40.9999999980476,NA
"X3",41.4666666639022,41.4666666639022,41.4666666639022,NA
"X4",40.9999999968462,40.9999999968462,40.9999999968462,NA
"X5",40.79999999592,40.79999999592,40.79999999592,NA
"X6",42.2857142796735,42.2857142796735,42.2857142796735,NA
"X7",45.9999999923333,45.9999999923333,45.9999999923333,NA
"X8",41.499999989625,41.499999989625,41.499999989625,NA
"X9",37.499999990625,37.499999990625,37.499999990625,NA
"X10",40.9999999918,40.9999999918,40.9999999918,NA
"X11",40.499999989875,40.499999989875,40.499999989875,NA
