"","min","max","mean","sd"
"X1",15.4999999994833,15.4999999994833,15.4999999994833,NA
"X2",15.9999999994483,15.9999999994483,15.9999999994483,NA
"X3",16.4999999994107,16.4999999994107,16.4999999994107,NA
"X4",16.2499999993229,16.2499999993229,16.2499999993229,NA
"X5",14.8888888880617,14.8888888880617,14.8888888880617,NA
"X6",15.7058823520173,15.7058823520173,15.7058823520173,NA
"X7",16.8666666655422,16.8666666655422,16.8666666655422,NA
"X8",18.6153846139527,18.6153846139527,18.6153846139527,NA
"X9",18.4545454528678,18.4545454528678,18.4545454528678,NA
"X10",18.29999999817,18.29999999817,18.29999999817,NA
"X11",19.29999999807,19.29999999807,19.29999999807,NA
